TALLA/EDAD NIÑOS Z DE 0 A 19 AÑOS,,,,,,,,TALLA/EDAD NIÑAS Z DE 0 A 19 AÑOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MES,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,,MES,SD3neg,-2 SD,-1 SD,Median,1 SD,2 SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.000,,101.082,105.673,110.265,114.856,119.448,,61.000,,100.055,104.828,109.602,114.375,119.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.000,,101.555,106.178,110.801,115.423,120.046,,62.000,,100.514,105.320,110.126,114.932,119.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.000,,102.026,106.680,111.334,115.988,120.641,,63.000,,100.968,105.807,110.645,115.484,120.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.000,,102.496,107.180,111.864,116.547,121.231,,64.000,,101.418,106.289,111.160,116.031,120.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,,102.960,107.675,112.390,117.104,121.819,,65.000,,101.865,106.767,111.670,116.572,121.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.000,,103.420,108.165,112.911,117.657,122.402,,66.000,,102.306,107.241,112.175,117.110,122.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.000,,103.875,108.652,113.428,118.204,122.981,,67.000,,102.745,107.711,112.677,117.642,122.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.000,,104.329,109.135,113.941,118.747,123.553,,68.000,,103.181,108.177,113.174,118.171,123.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,,104.777,109.613,114.450,119.287,124.123,,69.000,,103.612,108.640,113.667,118.695,123.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.000,,105.220,110.088,114.955,119.822,124.689,,70.000,,104.040,109.098,114.156,119.215,124.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
